Id;Tweet;Categoria;Columna1;Fecha;Usuario;Ironia;Reclasificar;Twitero
1807;"- No politicemos la vacuna
- Spot de La Matanza:  gracias al señor presidente Alberto Fernández con imágenes de la vacunación de fondo";Positivo;;6/24/2021;Leandro Landin;NO;Reclasificar;
1667;"#23Jun #Internacionales El presidente de Argentina, Alberto Fernández @alferdez, prometió este miércoles acelerar el proceso de vacunación contra el covid-19 en la nación suramericana.

Amplía la información en https://t.co/vQ1wVO4NfI https://t.co/X6sMqV6oYd";Positivo;;6/23/2021;Primicias24;NO;Reclasificar;
344;#ELP Argentina evita el ‘default’ con el Club de París. El gobierno de Alberto Fernández hace un pago parcial de 430 millones de dólares y pospone el vencimiento de otros 2.000 millones hasta el 31 de marzo de 2022... https://t.co/7ibCM1wWhz;Positivo;;6/22/2021;Nica Noticias;NO;Reclasificar;
624;#ElVirusSonEllos los cipayos vendepatria de siempre, boicoteando todo desde el principio del mandato de Alberto Fernández.;Positivo;;6/23/2021;Gabriel Gomez;NO;Reclasificar;
537;#ElVirusSonEllos y para este virus lo unica vacuna es ??? ?ALBERTO FERNANDEZ???? CRISTINA ????Y AXEL ????;Positivo;;6/22/2021;sil;NO;Reclasificar;
1499;"@alferdez presentará el programa #CasaPropia 
https://t.co/4qA5IxPFzE";Positivo;;6/24/2021;Resumen Patagónico;NO;Reclasificar;
763;@alfredocornejo @alferdez Ya llegan el sábado casi 1 millón!!! Y de la ponen al pueblo ustedes las dejaron vencer y volvió el sarampión!!! Anda a vender ballenitas a la puerta del Banco!!! Te va ir mejor!!! Va siempre viviste del estado(Nunca laburaste!!! Viva PERÓN y ALBERTO Fernández!;Positivo;;6/24/2021;Fernández y Fernandez.#FuerzaAxel;NO;Reclasificar;
1888;"@BiciGoga Todos sé quejan por el hacer,y dice pero tiene razón piensen que él gobierno anterior, no se aria cargo ni siquiera se La salud de los argentinos como el; cada uno es responsable de uno mismo cuidándote Alberto Fernández está haciendo todo.";Positivo;;6/24/2021;Ricardo Oscar Correa;NO;Reclasificar;
1128;@eri_vicente ya está eri. como dijo litto nebbia, quien quiera oír q oiga viva alberto fernandez;Positivo;;6/22/2021;rom ??;NO;Reclasificar;
1849;"@fondodelpaimun El que esta medio confundido sos vos, dijiste: Ladreta es mas peronista y zurdo que Alberto

Dijiste eso como si Alberto Fernandez no hubiera cedido a abrir escuelas recien cuando las encuestas en en el cornubano le daban mal. Y solo te nombro el tema educacion.";Positivo;;6/23/2021;-.;NO;Reclasificar;
1657;"@HctorEstanisla1 ASI ES COMPAÑERO HECTOR CARRUEGA PERIMERO LA VIDA 
NO ES EL MOMENTO DE HACER POLITICA HAY QUE APOYAR A NUESTRO PRESIDENTE ALBERTO FERNANDEZ SI A LA VIVA 
SI A LA VACUNA CONTRA EL COVIT19 
VAMOS  AYUDAR A LOS QUE MAS LO NECESITAN 
JUNTOS PODEMOS   ES MOMENTO DE VACUNAR A TODOS/AS";Positivo;;6/24/2021;Mabel Enrique;NO;Reclasificar;
